age,income,loan_amount,loan_term_months,credit_score,num_existing_loans,employment_years,debt_to_income,has_collateral,education,loan_purpose,region,default,loan_id,loan_to_income_ratio,monthly_payment_estimate,payment_to_income_ratio,credit_score_band,age_group,is_high_risk_purpose,education_enc,loan_purpose_enc,region_enc
57,72740.62044265812,30186.72300836916,12,796,1,300,0.7156764377650179,1,Bachelor,Business,East,0,LN000012,0.41499127756499604,2515.56025069743,0.414991277564996,4,3,0,0,1,0
61,85295.64092388308,18374.525686100656,48,581,1,300,0.09279807794532349,0,High School,Business,South,0,LN000013,0.21542162632317738,382.8026184604303,0.053855406580794345,2,3,0,1,1,2
45,47725.77901824906,1000.0,24,633,1,300,0.16927199092137435,0,Bachelor,Education,West,1,LN000014,0.020953036714552672,41.666666666666664,0.010476518357276334,2,2,0,0,2,3
24,64547.012794729475,4747.012401207596,48,607,3,300,0.41513464322333277,1,High School,Home,West,1,LN000015,0.07354348707513245,98.8960916918249,0.018385871768783108,2,0,0,1,3,3
43,60859.764166699584,1000.0,12,605,3,300,0.12310364025224788,1,Bachelor,Auto,West,1,LN000016,0.01643121713815589,83.33333333333333,0.01643121713815589,2,2,0,0,0,3
23,62552.290126578795,4647.615565448816,48,664,0,300,0.4055102053582951,0,High School,Home,East,0,LN000017,0.07429968680673482,96.82532428018366,0.01857492170168371,2,0,0,1,3,0
45,62851.953289319674,1931.1866064849582,24,762,3,300,0.08460965643714224,1,High School,Personal,North,0,LN000018,0.030725960060387202,80.46610860353992,0.0153629800301936,4,2,1,1,4,1
51,86810.06689129678,17020.539923054723,36,686,1,300,0.10362165381917726,0,High School,Home,North,0,LN000019,0.1960664302259757,472.792775640409,0.0653554767419919,3,3,0,1,3,1
59,45806.462630214126,12471.317267149794,12,585,3,300,0.2785606166590083,1,High School,Personal,South,1,LN000020,0.2722610861228927,1039.2764389291494,0.2722610861228927,2,3,1,1,4,2
23,24485.281935926356,20924.319344231113,24,870,2,300,0.23461024454925083,0,High School,Personal,North,0,LN000021,0.8545672211978751,871.846639342963,0.42728361059893755,1,0,1,1,4,1
42,41042.52462768226,14695.203338608308,60,656,4,300,0.2367478447863136,0,High School,Auto,West,0,LN000022,0.35804823099738664,244.92005564347178,0.07160964619947732,2,2,0,1,0,3
54,70145.3386707081,13077.52745484132,60,603,0,300,0.24726067525526113,0,Bachelor,Auto,West,1,LN000023,0.1864347325519771,217.958790914022,0.03728694651039542,2,3,0,0,0,3
33,55466.59017294354,31025.65559415475,60,762,1,300,0.19789882193216302,0,High School,Home,West,0,LN000024,0.5593575429356208,517.0942599025791,0.11187150858712415,4,1,0,1,3,3
43,45648.01319010008,16782.58107086802,36,612,1,300,0.3085410983512027,0,PhD,Education,East,0,LN000025,0.3676519501731073,466.18280752411164,0.12255065005770244,2,2,0,3,2,0
46,33470.05463180716,14355.907859979405,48,783,2,300,0.4704991747624977,0,High School,Home,North,0,LN000026,0.42891796914895813,299.0814137495709,0.10722949228723952,4,2,0,1,3,1
48,59425.72243461065,8172.472639455656,48,580,0,300,0.2215898067356034,0,Master,Auto,West,0,LN000027,0.13752416133347425,170.25984665532616,0.034381040333368564,2,2,0,2,0,3
63,67890.12550547619,5592.69187464298,48,764,4,300,0.5289813960988258,1,Bachelor,Personal,South,0,LN000028,0.08237857616262412,116.51441405506209,0.02059464404065603,4,3,1,0,4,2
49,61117.441101920565,21164.00814713681,36,666,0,300,0.2062154245604239,1,Bachelor,Personal,North,0,LN000029,0.3462842646151255,587.8891151982448,0.11542808820504184,2,2,1,0,4,1
37,49933.39337690108,20685.567982678873,60,753,0,300,0.3079048389074212,0,High School,Education,South,1,LN000030,0.41426321312758824,344.7594663779812,0.08285264262551764,4,1,0,1,2,2
36,57932.82568594925,27572.629911591997,48,802,1,300,0.19650534659035418,1,High School,Home,South,0,LN000031,0.4759413956616194,574.4297898248333,0.11898534891540484,5,1,0,1,3,2
24,57816.859331148306,18831.292746422525,36,559,3,300,0.28183163060849825,1,Master,Education,West,0,LN000032,0.32570590938822125,523.0914651784035,0.10856863646274044,1,0,0,2,2,3
58,58793.93862435325,11855.177300483634,36,752,4,300,0.04113286569812131,0,Bachelor,Education,West,0,LN000033,0.2016394474986416,329.3104805689898,0.06721314916621386,4,3,0,0,2,3
28,31313.900979617596,19088.082230162538,24,537,0,300,0.04123328716005876,1,Bachelor,Home,West,1,LN000034,0.6095721591055385,795.3367595901058,0.30478607955276926,1,0,0,0,3,3
42,58946.527012297556,14357.595182368474,48,566,2,300,0.6140068337263114,1,Bachelor,Business,South,0,LN000035,0.24356982353469545,299.1165662993432,0.06089245588367387,1,2,0,0,1,2
30,46188.07063067611,21923.08107259016,60,585,1,300,0.12051237145846971,0,Bachelor,Home,South,0,LN000036,0.47464812392552724,365.3846845431693,0.09492962478510544,2,0,0,0,3,2
60,75812.37212019518,25674.65461481635,12,690,3,300,0.4374027680033982,0,Master,Education,West,0,LN000037,0.33866048372831536,2139.5545512346957,0.33866048372831536,3,3,0,2,2,3
39,57658.37283500548,13651.549228929698,36,652,3,300,0.5826697507408372,0,Master,Business,East,0,LN000038,0.23676612012612305,379.20970080360274,0.07892204004204102,2,1,0,2,1,0
25,71709.58443645784,29058.477118517912,24,636,1,300,0.15444334505773458,0,Bachelor,Education,South,1,LN000039,0.40522445286608444,1210.7698799382463,0.20261222643304222,2,0,0,0,2,2
46,48964.37225900496,24506.778140972157,12,661,0,300,0.3416870891687027,1,Master,Education,West,0,LN000040,0.5005022429643251,2042.2315117476799,0.5005022429643251,2,2,0,2,2,3
35,49685.72324777083,15141.474715448567,36,697,1,300,0.2822480241998266,1,Bachelor,Education,West,0,LN000041,0.30474497955764174,420.5965198735713,0.10158165985254725,3,1,0,0,2,3
30,84885.02492512664,20365.946200463506,24,703,3,300,0.3218831292915113,0,Bachelor,Personal,East,0,LN000042,0.23992389963279642,848.5810916859795,0.11996194981639823,3,0,1,0,4,0
47,63726.703768310166,17443.97509584147,48,737,3,300,0.22466290493846747,1,Master,Home,West,0,LN000043,0.27373101171625264,363.41614783003064,0.06843275292906316,3,2,0,2,3,3
23,40709.70935188523,15175.951942434349,24,795,2,300,0.4202249785761509,0,Bachelor,Auto,West,1,LN000044,0.3727845809769105,632.3313309347645,0.18639229048845524,4,0,0,0,0,3
41,72939.48877240949,30305.160451784082,36,648,2,300,0.28452363342131587,0,Master,Personal,East,0,LN000045,0.4154835873109038,841.8100125495579,0.13849452910363458,2,2,1,2,4,0
49,44333.905331442584,19140.83568792553,48,608,3,300,0.12107451463743522,0,Bachelor,Home,East,0,LN000046,0.4317426029768333,398.7674101651152,0.10793565074420834,2,2,0,0,3,0
28,59513.96275623046,8272.253114951523,60,699,2,300,0.46186913195979235,0,Bachelor,Personal,North,0,LN000047,0.13899684598108045,137.87088524919207,0.027799369196216096,3,0,1,0,4,1
29,91733.4926171881,6776.242584571131,24,558,2,300,0.2221091665449986,0,Master,Home,South,0,LN000048,0.07386879525942597,282.34344102379714,0.036934397629712984,1,0,0,2,3,2
56,26374.352247238916,7103.22463638218,12,595,2,300,0.7182217723722596,1,High School,Business,South,0,LN000049,0.2693231882927401,591.9353863651817,0.2693231882927401,2,3,0,1,1,2
35,51484.36156466927,18916.036007345385,48,729,3,300,0.18709376325195048,0,Bachelor,Auto,North,1,LN000050,0.36741323835947814,394.0840834863622,0.09185330958986952,3,1,0,0,0,1
38,63165.43281804061,12267.890621447541,48,640,0,300,0.06551052511409304,1,High School,Business,South,0,LN000051,0.19421842096431774,255.58105461349044,0.048554605241079435,2,1,0,1,1,2
57,70293.96669329348,17666.34973290222,60,553,0,300,0.2388123393273302,0,High School,Business,North,1,LN000052,0.25132099615297016,294.439162215037,0.050264199230594026,1,3,0,1,1,1
61,30175.321852782545,22491.17027969098,24,530,4,300,0.2509968840516118,0,Bachelor,Home,South,0,LN000053,0.74534980569286,937.1320949871242,0.37267490284642996,1,3,0,0,3,2
25,24284.19462849964,31229.708243458306,12,653,2,300,0.5038917526547615,1,Bachelor,Education,West,1,LN000054,1.2860096338878577,2602.4756869548587,1.2860096338878577,2,0,0,0,2,3
23,76814.98703980852,12452.214130493143,60,741,0,300,0.5653594170684982,0,High School,Education,East,0,LN000055,0.1621065707404197,207.5369021748857,0.03242131414808394,4,0,0,1,2,0
27,40591.70286392325,3731.5951413341572,24,740,4,300,0.14672696944447444,1,PhD,Education,East,0,LN000056,0.09192999746385837,155.48313088892323,0.045964998731929184,4,0,0,3,2,0
63,39754.3498400537,29339.216522645813,12,658,1,300,0.13232676878237667,0,Bachelor,Education,East,0,LN000057,0.7380127367366897,2444.9347102204842,0.7380127367366897,2,3,0,0,2,0
25,86004.99345544333,3343.1934214474295,12,810,2,300,0.28588406904205577,0,Bachelor,Auto,South,0,LN000058,0.038872085063054396,278.5994517872858,0.03887208506305439,5,0,0,0,0,2
50,56394.04629463645,3028.5703403536645,36,641,0,300,0.250863978233764,0,Bachelor,Business,West,0,LN000059,0.053703724760776866,84.1269538987129,0.017901241586925624,2,2,0,0,1,3
39,56524.76455363148,29131.602079735185,12,638,0,300,0.10762349277303547,1,High School,Personal,East,0,LN000060,0.5153776810886973,2427.6335066445986,0.5153776810886972,2,1,1,1,4,0
47,51404.011096969356,23529.852221899833,24,444,0,300,0.3203423404298973,0,Bachelor,Auto,North,0,LN000061,0.45774350522010315,980.4105092458263,0.22887175261005155,1,2,0,0,0,1
55,30520.3586651366,18878.722729809455,60,614,4,300,0.22207680301463706,0,Bachelor,Home,South,1,LN000062,0.6185616275661471,314.6453788301576,0.12371232551322943,2,3,0,0,3,2
31,68513.93898788776,14600.63202037221,60,718,1,300,0.1979619369935673,1,Bachelor,Auto,South,0,LN000063,0.21310454830152714,243.3438670062035,0.042620909660305434,3,1,0,0,0,2
57,63189.01043851247,13086.367860837967,36,775,2,300,0.5836121001384796,1,High School,Auto,West,0,LN000064,0.20709879407863113,363.5102183566102,0.0690329313595437,4,3,0,1,0,3
35,58373.82650678865,9793.39180004529,24,583,0,300,0.27020960623114293,0,High School,Home,South,0,LN000065,0.16777025571394324,408.05799166855377,0.08388512785697161,2,1,0,1,3,2
52,52673.53921447484,12735.654605796672,12,686,3,300,0.6616475872923736,1,Master,Personal,East,0,LN000066,0.24178467586808514,1061.304550483056,0.2417846758680851,3,3,1,2,4,0
36,49153.607013234265,14620.676951754223,36,733,2,300,0.26505436676517563,1,High School,Business,East,0,LN000067,0.29744870906051124,406.1299153265062,0.09914956968683708,3,1,0,1,1,0
29,73249.6677909483,4004.400864484627,48,650,3,300,0.22647657273408248,0,High School,Auto,North,1,LN000068,0.05466783652743698,83.4250180100964,0.013666959131859243,2,0,0,1,0,1
35,52174.1387358781,8438.171872220351,24,467,4,300,0.09636456877210778,0,High School,Home,North,0,LN000069,0.16173092793993268,351.590494675848,0.08086546396996634,1,1,0,1,3,1
44,53718.779229322216,1000.0,36,669,0,300,0.15272916784469368,0,Master,Home,South,0,LN000070,0.018615463983853033,27.77777777777778,0.006205154661284343,2,2,0,2,3,2
61,65597.86309767546,15623.419616802506,60,710,2,300,0.19667016925479439,1,Bachelor,Personal,North,1,LN000071,0.23816964271441549,260.39032694670846,0.0476339285428831,3,3,1,0,4,1
42,59159.21861360772,15624.809608674614,36,574,2,300,0.4935318563371495,0,Master,Auto,South,1,LN000072,0.2641145365818036,434.0224891298504,0.0880381788606012,1,2,0,2,0,2
37,87845.52115080877,29228.123490121437,48,629,0,300,0.09246602261493489,0,PhD,Home,East,0,LN000073,0.33272184064961113,608.91923937753,0.08318046016240278,2,1,0,3,3,0
39,19772.664450533914,18004.43937626047,24,557,1,300,0.5236311496422991,1,PhD,Personal,West,1,LN000074,0.9105722408481121,750.1849740108529,0.455286120424056,1,1,1,3,4,3
45,60998.148767345265,10551.663464676974,36,444,4,300,0.08106600315848148,1,Bachelor,Personal,East,1,LN000075,0.17298333929644927,293.10176290769374,0.05766111309881643,1,2,1,0,4,0
47,40887.88439055662,13397.159986402137,12,732,0,300,0.4035140433553015,0,Bachelor,Home,South,1,LN000076,0.3276559838223451,1116.4299988668447,0.3276559838223451,3,2,0,0,3,2
46,36158.26930490141,18894.578500088814,24,649,2,300,0.14677791387041006,1,Master,Home,East,0,LN000077,0.5225520707521134,787.2741041703672,0.2612760353760567,2,2,0,2,3,0
62,45858.71587911305,16820.901012360013,36,777,1,300,0.3786390954558618,1,Bachelor,Auto,East,0,LN000078,0.366798343344396,467.2472503433337,0.122266114448132,4,3,0,0,0,0
50,56093.58816963523,19626.287353692784,36,718,2,300,0.25427857328942644,1,High School,Auto,West,0,LN000079,0.34988468368862435,545.1746487136884,0.11662822789620811,3,2,0,1,0,3
36,56981.381518468195,18016.35818830348,24,621,3,300,0.24196336361100734,1,Bachelor,Business,East,1,LN000080,0.3161797364015158,750.6815911793116,0.1580898682007579,2,1,0,0,1,0
22,24653.87568643014,12978.845878479995,60,643,2,300,0.12122405508542235,1,Master,Home,South,0,LN000081,0.5264424159331567,216.3140979746666,0.10528848318663135,2,0,0,2,3,2
46,44178.32340644361,10713.653671416003,12,695,4,300,0.4311123986041366,1,High School,Education,North,1,LN000082,0.2425092861231888,892.8044726180002,0.2425092861231888,3,2,0,1,2,1
28,60624.43102952918,10283.50236832027,24,727,0,300,0.14717340641274382,1,Master,Education,West,0,LN000083,0.16962637329018962,428.47926534667795,0.0848131866450948,3,0,0,2,2,3
30,37461.39098432691,7597.82972302353,12,675,2,300,0.10252575874941042,1,Master,Business,South,0,LN000084,0.20281760829976414,633.1524769186275,0.2028176082997641,3,0,0,2,1,2
45,32704.321905669694,6343.045729803796,12,738,3,300,0.5617887919024132,1,High School,Home,South,0,LN000085,0.19395129940621553,528.5871441503164,0.19395129940621555,3,2,0,1,3,2
22,15000.0,29707.7114468998,24,626,3,300,0.5025684656930786,0,High School,Personal,East,0,LN000086,1.9805140964599868,1237.8213102874918,0.9902570482299934,2,0,1,1,4,0
29,41736.13103249283,15997.681213168446,36,570,0,300,0.44451339435220344,0,High School,Education,West,0,LN000087,0.38330532364664494,444.3800336991235,0.1277684412155483,1,0,0,1,2,3
45,32007.416020983725,13757.588391133324,60,644,3,300,0.06728276910456905,0,Bachelor,Auto,West,0,LN000088,0.42982502499152053,229.29313985222205,0.08596500499830409,2,2,0,0,0,3
32,35321.342337798844,11032.92547061675,12,666,0,300,0.18960091414302532,0,Bachelor,Education,East,0,LN000089,0.31235861211338944,919.4104558847292,0.3123586121133895,2,1,0,0,2,0
38,49563.593934406934,18431.032874647462,12,553,4,300,0.0621544674856199,1,Bachelor,Home,North,0,LN000090,0.37186635212610525,1535.9194062206218,0.3718663521261052,1,1,0,0,3,1
29,43003.42246914204,24629.311088448587,36,543,0,300,0.24409577721076314,0,Master,Education,West,0,LN000091,0.5727290916466437,684.147530234683,0.1909096972155479,1,0,0,2,2,3
56,31675.242122813877,20786.115810045918,24,685,1,300,0.3236950993184565,1,High School,Business,South,0,LN000092,0.6562259486273937,866.0881587519133,0.32811297431369685,3,3,0,1,1,2
56,15000.0,22372.712698492083,60,617,3,300,0.4443763088595268,1,Bachelor,Auto,North,0,LN000093,1.4915141798994722,372.8785449748681,0.2983028359798945,2,3,0,0,0,1
54,61046.22610295285,10307.76974252817,12,636,3,300,0.22470384504158994,0,Bachelor,Business,West,1,LN000094,0.1688518750552145,858.9808118773475,0.1688518750552145,2,3,0,0,1,3
26,70056.54427616946,14966.966065732964,12,621,2,300,0.13596501165548083,0,Master,Personal,North,0,LN000095,0.21364122681718045,1247.2471721444138,0.21364122681718048,2,0,1,2,4,1
63,47065.100420112525,10412.975105128324,24,771,1,300,0.2720506183115339,1,Bachelor,Personal,South,0,LN000096,0.22124621029552724,433.87396271368016,0.11062310514776363,4,3,1,0,4,2
60,49684.486070914456,15856.251190425937,36,750,2,300,0.13206874807625432,0,Bachelor,Personal,North,0,LN000097,0.3191388790415257,440.451421956276,0.10637962634717524,4,3,1,0,4,1
62,55056.21031372246,25180.728064465686,48,551,0,300,0.485733675592498,1,High School,Personal,West,1,LN000098,0.45736399074655393,524.5985013430351,0.11434099768663845,1,3,1,1,4,3
49,86575.67153224503,18515.230759230733,36,607,4,300,0.3095048517235776,0,High School,Home,West,1,LN000099,0.213861820896587,514.311965534187,0.07128727363219567,2,2,0,1,3,3
28,23645.844123484578,28013.714927968413,12,718,3,300,0.2939878502002104,1,Bachelor,Home,South,1,LN000100,1.184720443122001,2334.476243997368,1.184720443122001,3,0,0,0,3,2
30,46710.20548254861,12691.811116398865,12,698,4,300,0.5424834924742724,0,Bachelor,Home,South,1,LN000101,0.27171387891112253,1057.650926366572,0.27171387891112253,3,0,0,0,3,2
29,20560.54071734561,8544.311567863624,60,646,0,300,0.3226509881763322,0,High School,Business,North,0,LN000102,0.41556842717931713,142.40519279772707,0.08311368543586342,2,0,0,1,1,1
33,62246.36917471118,19097.027893554234,36,558,0,300,0.09504682132022292,0,Master,Business,North,1,LN000103,0.30679745898035093,530.4729970431731,0.10226581966011697,1,1,0,2,1,1
55,52120.83212423977,15950.866905782552,48,595,1,300,0.14913044425882274,1,PhD,Education,South,0,LN000104,0.3060363055555343,332.30972720380316,0.07650907638888359,2,3,0,3,2,2
54,59059.842258721554,17581.61802531734,60,608,2,300,0.2983075851088544,0,Bachelor,Auto,West,0,LN000105,0.2976915845507699,293.02696708862237,0.05953831691015398,2,3,0,0,0,3
44,58062.45125182153,16385.761303731986,48,672,3,300,0.1549619179474562,0,High School,Business,East,0,LN000106,0.28220925831507904,341.37002716108304,0.07055231457876976,3,2,0,1,1,0
45,74814.16507407032,11124.525013188191,60,786,3,300,0.34053558237757736,0,Master,Education,East,1,LN000107,0.14869543758423653,185.40875021980318,0.029739087516847302,4,2,0,2,2,0
58,65762.65929136932,16565.888382159996,36,595,4,300,0.44230057022695385,1,High School,Personal,West,1,LN000108,0.25190417420261013,460.163566171111,0.08396805806753672,2,3,1,1,4,3
56,71610.15915320175,22786.964286633367,12,567,1,300,0.1858531930149111,1,Master,Personal,West,0,LN000109,0.3182085413032425,1898.9136905527805,0.31820854130324244,1,3,1,2,4,3
61,33689.306202061125,23608.861663215634,48,641,0,300,0.11391461310199125,0,Bachelor,Business,South,0,LN000110,0.7007820678055766,491.8512846503257,0.17519551695139415,2,3,0,0,1,2
43,78863.4172995029,11083.867206517025,36,732,1,300,0.08156153495609814,1,High School,Home,East,0,LN000111,0.1405451042582058,307.8852001810285,0.0468483680860686,3,2,0,1,3,0
48,40552.74521022001,16848.04745384388,48,534,3,300,0.38208181893609156,0,High School,Education,West,1,LN000112,0.41546009688137886,351.00098862174747,0.10386502422034471,1,2,0,1,2,3
56,41702.60914752039,26816.888663052698,36,766,2,300,0.19648170479617943,1,Bachelor,Auto,West,1,LN000113,0.6430506198830299,744.9135739736861,0.21435020662767665,4,3,0,0,0,3
22,60416.851547059894,11256.874007523806,60,636,4,300,0.414459324113181,0,Master,Education,West,0,LN000114,0.18632010307183255,187.6145667920634,0.037264020614366504,2,0,0,2,2,3
56,61038.36526098553,9804.428804539588,36,591,0,300,0.10497029760850012,1,High School,Home,North,1,LN000115,0.16062731632176228,272.3452445705441,0.05354243877392075,2,3,0,1,3,1
58,33562.86395535043,21355.223711750965,60,521,0,300,0.3130679881333202,0,High School,Home,West,1,LN000116,0.6362753709028045,355.92039519584944,0.1272550741805609,1,3,0,1,3,3
35,51534.41416452206,19951.67365584383,12,706,0,300,0.3241800659276612,1,High School,Business,North,0,LN000117,0.3871524296783256,1662.6394713203192,0.3871524296783256,3,1,0,1,1,1
24,84764.70633738952,8304.19134614311,60,636,2,300,0.058681207668473456,0,Bachelor,Home,East,1,LN000118,0.09796755872768417,138.40318910238517,0.019593511745536835,2,0,0,0,3,0
22,25633.2687693181,3804.315224339907,24,663,3,300,0.22565728020279954,1,Bachelor,Home,West,0,LN000119,0.14841319141059006,158.51313434749613,0.07420659570529503,2,0,0,0,3,3
26,84704.38482025452,16692.448818370776,12,577,3,300,0.2867112714180223,0,PhD,Auto,West,1,LN000120,0.19706711587354891,1391.037401530898,0.19706711587354891,1,0,0,3,0,3
47,50166.0309716702,11651.22321708059,36,624,1,300,0.2192527735307288,0,Master,Home,East,0,LN000121,0.2322532397203254,323.6450893633497,0.07741774657344182,2,2,0,2,3,0
35,15000.0,1527.3899629726911,36,611,1,300,0.3683260079104171,0,Master,Personal,South,1,LN000122,0.10182599753151274,42.42749897146364,0.03394199917717091,2,1,1,2,4,2
60,27665.365330341872,9502.379809212282,24,641,3,300,0.4207281406223931,1,High School,Home,West,1,LN000123,0.3434756669846173,395.9324920505117,0.17173783349230864,2,3,0,1,3,3
48,35730.44924529613,19820.8785202766,36,596,0,300,0.14136813023557052,0,High School,Personal,West,0,LN000124,0.5547335378909628,550.5799588965723,0.1849111792969876,2,2,1,1,4,3
30,42521.413984345156,13788.714312712043,12,527,2,300,0.3901867877043336,0,Bachelor,Auto,North,0,LN000125,0.3242769470880848,1149.059526059337,0.32427694708808485,1,0,0,0,0,1
36,52905.73482749324,27528.83236014929,12,868,3,300,0.16879914260215653,1,High School,Business,East,1,LN000126,0.5203373972578021,2294.069363345774,0.5203373972578021,1,1,0,1,1,0
36,15000.0,1000.0,60,540,2,300,0.3644640151968695,0,Master,Personal,West,1,LN000127,0.06666666666666667,16.666666666666668,0.013333333333333334,1,1,1,2,4,3
47,58736.08784955307,25703.938971897187,48,664,4,300,0.3663680399126467,0,Master,Business,East,0,LN000128,0.43761748378161297,535.4987285811914,0.10940437094540324,2,2,0,2,1,0
63,33898.189833502314,12248.77296187049,36,508,0,300,0.4691395934293889,0,High School,Business,East,0,LN000129,0.3613400308993716,340.2436933852914,0.12044667696645721,1,3,0,1,1,0
34,82810.45143202117,11092.629312348958,24,490,4,300,0.10593296375947128,1,Master,Personal,West,0,LN000130,0.13395204494754942,462.1928880145399,0.0669760224737747,1,1,1,2,4,3
53,49596.46558512051,2590.4493068139764,12,657,3,300,0.2259897568393164,1,High School,Education,East,0,LN000131,0.05223052240220803,215.87077556783137,0.05223052240220803,2,3,0,1,2,0
60,73856.9234346546,18720.654793142076,12,663,1,300,0.15374712760065024,1,High School,Home,West,0,LN000132,0.25347190111033124,1560.054566095173,0.25347190111033124,2,3,0,1,3,3
53,77206.97959828586,1000.0,12,750,3,300,0.45010324484107167,1,High School,Auto,North,1,LN000133,0.012952196876539927,83.33333333333333,0.012952196876539927,4,3,0,1,0,1
25,76665.46486932434,21543.229156783338,48,681,4,300,0.405604511818463,1,Bachelor,Business,South,0,LN000134,0.28100304607170384,448.8172740996529,0.07025076151792596,3,0,0,0,1,2
51,43671.86514075029,2893.08747966591,48,638,2,300,0.47829537247634757,1,Master,Education,North,0,LN000135,0.06624602522337351,60.272655826373125,0.01656150630584338,2,3,0,2,2,1
58,43415.99684557352,4154.352318104715,36,574,3,300,0.17702764461278764,0,High School,Business,South,0,LN000136,0.09568713423490752,115.39867550290874,0.03189571141163584,1,3,0,1,1,2
44,50500.5340142337,5470.283066538546,24,769,1,300,0.13090394071312889,1,Master,Education,East,0,LN000137,0.10832129151340723,227.92846110577275,0.05416064575670362,4,2,0,2,2,0
60,67724.74750757852,9272.40026085202,48,724,4,300,0.3004523286220007,1,High School,Auto,East,0,LN000138,0.1369130281336881,193.1750054344171,0.03422825703342203,3,3,0,1,0,0
36,44786.09460491675,22536.607528796005,60,550,3,300,0.3961172672933452,0,PhD,Education,South,1,LN000139,0.5032054642764469,375.6101254799334,0.10064109285528937,1,1,0,3,2,2
64,52614.75052819504,27031.652268973234,48,653,4,300,0.08908552136390621,1,Master,Auto,East,1,LN000140,0.5137656645257225,563.1594222702757,0.12844141613143062,2,3,0,2,0,0
50,60471.876326788995,10099.251608479783,12,661,4,300,0.145801995945731,1,Master,Home,North,1,LN000141,0.16700741273354242,841.6043007066486,0.16700741273354242,2,2,0,2,3,1
57,36902.16147904267,14627.495189551475,24,622,0,300,0.26368822408094805,1,Bachelor,Education,West,0,LN000142,0.39638586476455223,609.4789662313115,0.1981929323822761,2,3,0,0,2,3
34,35637.83423341764,18919.33847258009,36,711,2,300,0.3267209585133124,1,High School,Business,South,0,LN000143,0.5308778964699096,525.5371797938914,0.1769592988233032,3,1,0,1,1,2
53,51834.72237192019,12365.501090128757,48,716,0,300,0.24200073611036957,0,High School,Home,West,0,LN000144,0.23855632912249133,257.6146060443491,0.059639082280622834,3,3,0,1,3,3
28,54483.57629903283,18606.06101834397,12,634,4,300,0.37648340863367985,0,Bachelor,Business,West,0,LN000145,0.34149852638572586,1550.5050848619976,0.34149852638572586,2,0,0,0,1,3
43,63677.70960003286,14967.36422796775,60,627,1,300,0.391498410293958,0,Bachelor,Business,East,0,LN000146,0.23504872147537206,249.45607046612915,0.04700974429507441,2,2,0,0,1,0
49,68437.73149903111,12972.320969947748,60,769,1,300,0.5827074439077173,1,Bachelor,Home,East,0,LN000147,0.18954925427549274,216.20534949912914,0.03790985085509855,4,2,0,0,3,0
23,33018.74358856703,3641.4744407832204,36,724,0,300,0.269066561428211,0,High School,Home,East,1,LN000148,0.1102850697821254,101.1520677995339,0.03676168992737513,3,0,0,1,3,0
63,38758.3013611287,16192.345583397358,36,655,1,300,0.43580828981947384,1,Bachelor,Auto,West,1,LN000149,0.41777748288104577,449.7873773165933,0.13925916096034857,2,3,0,0,0,3
